FIPS,COWS,COWS_PER_PERSON,COW_DENSITY,POPESTIMATE2020
20161,29500.0,0.4029944537034507,18.68179160727187,73202
19159,50000.0,10.414496979795876,36.050785107256566,4801
30009,78000.0,7.142203094954675,14.706635277767063,10921
16007,28500.0,4.639426990069999,11.277645865264528,6143
55011,63000.0,4.833883219519681,35.99401845230957,13033
31185,45000.0,3.330619495226112,30.348111799797515,13511
08037,9300.0,0.16930947222778495,2.1316809322681833,54929
42129,22000.0,0.06338468453154396,8.265199462120055,347087
40079,76000.0,1.5219785721437868,18.4620394241198,49935
48053,27500.0,0.5538436751052302,10.673286930073452,49653
36017,27000.0,0.577787288679649,11.666121306461221,46730
20109,40000.0,14.641288433382138,14.393461046616354,2732
47053,12000.0,0.2441058605748693,7.686874176021537,49159
27061,4400.0,0.09719890430326059,0.6368122438801761,45268
25017,,,,1609379
36119,200.0,0.00020708178280848456,0.17928083225991773,965802
46093,120000.0,4.197565412061005,13.348644044137307,28588
54107,7100.0,0.08560611541151221,7.479748483533406,82938
19021,24500.0,1.2391260368197452,16.454196349188987,19772
47021,6900.0,0.16787912702853947,8.806860479985538,41101
05019,11600.0,0.5248156358865312,5.1719790693520435,22103
51105,21500.0,0.9252087098717617,19.066658746997398,23238
27013,11800.0,0.17291657507949768,6.092145558122142,68241
56033,66000.0,2.1384829731393578,10.098730274784193,30863
22087,1500.0,0.03148152034755598,1.5341136511054692,47647
19015,14000.0,0.53278532556989,9.475139874840455,26277
39035,,,,1227883
45027,3700.0,0.11072871464910967,2.3527062918498123,33415
41035,73000.0,1.061988099914168,4.737068866359056,68739
45015,2000.0,0.008475043116781857,0.6997012623711053,235987
25005,,,,566765
25015,,,,161401
49025,9000.0,1.1372251705837755,0.8709181366297638,7914
37127,6500.0,0.06852275482558323,4.643710155926493,94859
44007,,,,636547
42111,43000.0,0.5897196774370509,15.4434177142774,72916
45059,21500.0,0.31672141773345314,11.644756870659489,67883
48057,15500.0,0.7380600923765535,11.805379343343581,21001
49017,15800.0,3.128712871287129,1.1787901986856497,5050
48341,135000.0,6.5362641619056845,57.934762420016924,20654
27167,2700.0,0.43824054536601204,1.3880464532221641,6161
48185,59000.0,1.992300938745188,28.92825699645426,29614
05073,31500.0,4.775621588841722,22.97044468284055,6596
49047,38000.0,1.05643591882124,3.2732323673438275,35970
53043,18200.0,1.6411181244364292,3.0412297830632444,11090
25025,,,,801582
36025,27000.0,0.6145022531749283,7.226387574321633,43938
06059,,,,3166857
36115,51000.0,0.8415008415008415,23.69040480438511,60606
37043,2400.0,0.20860495436766624,4.3103099688832796,11505
06111,5800.0,0.006893379621981324,1.21653935738554,841387
46127,27500.0,1.6983695652173914,23.044283546910393,16192
13021,2200.0,0.014403844517045641,3.4061099664491508,152737
41051,1300.0,0.0015938462821083398,1.1642367192512808,815637
48035,53000.0,2.849002849002849,20.817718988476507,18603
17017,4500.0,0.37735849056603776,4.623929618349357,11925
13049,1200.0,0.08935219657483247,0.5939371936600641,13430
29033,29000.0,3.3902267944821136,16.119512153081068,8554
31157,105000.0,2.9745885152553897,54.81379787056738,35299
26119,2200.0,0.23562172003855628,1.5538028643550652,9337
09011,,,,264999
13283,1300.0,0.19055995309293464,2.516823537535069,6822
37119,1900.0,0.0016829872137260895,1.4010425158835471,1128945
54043,1400.0,0.06984982288080627,1.2366772713391587,20043
45035,4100.0,0.024737988499852176,2.7840915466231806,165737
34041,4100.0,0.03881693554495191,4.439939910026523,105624
12095,18500.0,0.013172922736891874,7.910989659773339,1404396
47001,7500.0,0.09670182315170582,8.587596699816816,77558
05021,6600.0,0.4591304347826087,3.986513648487854,14375
24047,500.0,0.009541438467263325,0.4121480016813726,52403
27145,190000.0,1.172564460188351,54.630510145928746,162038
48471,39500.0,0.5473643367884263,19.447337919762326,72164
24003,1400.0,0.002402291099339885,1.3031087934191858,582777
30059,51000.0,27.85363189513927,8.232565221680765,1831
22053,18400.0,0.5895924122019995,10.904155106647373,31208
22055,5700.0,0.0231220438264143,8.186625062525348,246518
39043,2500.0,0.03391255985566814,3.841230287182607,73719
01033,15400.0,0.2779231560520474,10.027724248288093,55411
38105,20000.0,0.5167958656330749,3.7168093165197407,38700
22011,24000.0,0.6335629999208047,8.005729997170985,37881
48407,14500.0,0.49486365653049386,9.834960751306733,29301
13309,1400.0,0.18062185524448457,1.8293135881127167,7751
13279,8400.0,0.31142253364475586,8.909736096830681,26973
24033,3200.0,0.0035179834918624645,2.5598828331387744,909612
29143,200.0,0.011981069909542922,0.1144203445977037,16693
42097,19700.0,0.21826320104589067,16.619643704804943,90258
17129,5900.0,0.48889625455750746,7.245759658331435,12068
12125,9000.0,0.5928072717692003,14.267493993832868,15182
28079,16200.0,0.7123697286838749,10.730628688882135,22741
31091,23000.0,35.54868624420402,12.31397784301101,647
41043,25000.0,0.1907610603262777,4.216421254755772,131054
13077,8200.0,0.05435899475634575,7.178075777655682,150849
29087,3600.0,0.8506616257088847,3.004081563007415,4232
10005,,,,241635
06063,14200.0,0.748668740443929,2.1474802404792896,18967
12069,26000.0,0.06924248719013987,10.547746474432273,375492
42131,6400.0,0.2409910757992243,6.220393423963746,26557
51163,30500.0,1.3402469569802697,19.740274170791015,22757
22113,35000.0,0.5894439017818047,11.514480643426705,59378
51001,800.0,0.024815435200694833,0.6874470870365903,32238
51099,1800.0,0.06573901610605895,3.869020443145264,27381
38037,68000.0,30.69977426636569,15.823543895454128,2215
18179,7700.0,0.2736123942861204,8.076855793325429,28142
32031,13600.0,0.028506629887524577,0.8313952277236952,477082
